URL,Tag1,Tag2,Tag3,Trustworthy
.lo,,,,0
.com.co,,,,0
100percentfedup.com,bias,,,0
21stcenturywire.com,conspiracy,,,0
24newsflash.com,fake,,,0
365usanews.com,bias,conspiracy,,0
4threvolutionarywar.wordpress.com,bias,conspiracy,,0
70news.wordpress.com,fake,,,0
82.221.129.208,conspiracy,fake,,0
aanirfan.blogspot.co.uk,unreliable,,,0
abcnews.com.co,fake,,,0
abcnewsgo.co,fake,,,0
abeldanger.net,conspiracy,,,0
abovetopsecret.com,conspiracy,rumor,,0
abriluno.com,satire,fake,,0
aceflashman.wordpress.com,satire,,,0
Acting-Man.com,unreliable,conspiracy,,0
activistpost.com,conspiracy,,,0
addictinginfo.org,clickbait,unreliable,,0
adobochronicles.com,fake,,,0
advocate.com,political,credible,,0
aheadoftheherd.com,unknown,,,0
ahtribune.com,unreliable,bias,,0
allnewspipeline.com,unreliable,conspiracy,,0
Alt-Market.com,unknown,,,0
alternet.org,political,credible,,0
americanblog.com,unknown,,,0
americanfreepress.net,conspiracy,bias,,0
AmericanKabuki.blogspot.com,junksci,,,0
americanlookout.com,bias,clickbait,,0
americannews.com,fake,,,0
americanoverlook.com,fake,,,0
americanpatriotdaily.com,bias,clickbait,bias,0
americanprogress.org,unknown,,,0
americanreviewer.com,conspiracy,,,0
americantoday.news,rumor,bias,,0
americasfreedomfighters.com,bias,clickbait,,0
AmmoLand.com,bias,,,0
amplifyingglass.com,clickbait,satire,,0
amren.com,hate,conspiracy,,0
amtvmedia.com,rumor,unreliable,,0
amusmentic.com,clickbait,rumor,,0
ancient-code.com,junksci,unreliable,,0
angrypatriotmovement.com,conspiracy,,,0
anonews.co,unreliable,,,0
anonhq.com,unreliable,,,0
anonnews.co,unreliable,,,0
anotherdayintheempire.com,bias,conspiracy,,0
antiwar.com,bias,unreliable,,0
antoniusaquinas.wp.com,bias,conspiracy,,0
ArmstrongEconomics.com,unknown,,,0
asia-pacificresearch.com,unreliable,satire,,0
assassinationscience.com,conspiracy,junksci,,0
associatedmediacoverage.com,satire,,,0
attn.com,political,clickbait,,0
AutomaticEarth.com,unreliable,,,0
automotostar.com,clickbait,,,0
awarenessact.com,conspiracy,junksci,,0
awazetribune.com,unknown,,,0
awdnews.com,conspiracy,,,0
awm.com,unreliable,bias,clickbait,0
BadSquad.com,unknown,,,0
baptistnews.com,unknown,,,0
barenakedislam.com,hate,,,0
Barnhardt.biz,unknown,,,0
BB4SP.com,conspiracy,bias,bias,0
beehivebugle.com,satire,,,0
beforeitsnews.com,fake,conspiracy,rumor,0
betootaadvocate.com,satire,,,0
bients.com,clickbait,,,0
bigamericannews.com,satire,fake,,0
bigbluedimension.com,rumor,bias,,0
bigbluevision.com,hate,,,0
bigbluevision.org,clickbait,bias,,0
bighairynews.com,fake,conspiracy,,0
bignuggetnews.com,bias,rumor,,0
bigpzone.com,,,,0
bipartisanreport.com,clickbait,bias,,0
blackagendareport.com,unreliable,,,0
blackgenocide.org,unknown,,,0
blacklistednews.com,clickbait,unreliable,,0
blog.uncommonwisdomdaily.com,unknown,,,0
bluenationreview.com,clickbait,unreliable,,0
Boilingfrogspost.com,unreliable,,,0
borowitzreport.com,satire,,,0
bostonleader.com,fake,,,0
breaking911.com,clickbait,unreliable,,0
breakpoint.org,unknown,,,0
breitbart.com,political,unreliable,bias,0
BrotherJohnF.com,bias,conspiracy,,0
BullionBullsCanada.com,conspiracy,,,0
burrardstreetjournal.com,satire,,,0
buzzfeedusa.com,fake,rumor,,0
bvanews.com,unreliable,bias,fake,0
callthecops.net,satire,,,0
canadafreepress.com,conspiracy,bias,,0
cap-news.com,fake,,,0
CaseyResearch.com,unknown,,,0
cbsnews.com.co,fake,,,0
celebtricity.com,satire,,,0
centerforsecuritypolicy.org,unknown,,,0
channel-7-news.com/,fake,,,0
charismanews.com,unknown,,,0
chaser.com.au,satire,,,0
checkoutthehealthyworld.com,junksci,clickbait,,0
chicksontheright.com,clickbait,bias,,0
